Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2019-01-01 00:00:00,165.50,556.75,71.60,189.42,158.97,12.17,30.60,2.17,18.72,10.33,18.02,11.50,NA,NA,NA,20.25,65.25,0.45,267.00,0.00,0.00,7.00,765.00,NA
2019-01-01 01:00:00,219.50,483.75,119.55,208.50,208.10,14.20,30.88,2.53,22.15,10.00,17.63,10.50,NA,NA,NA,19.62,68.50,0.62,258.25,0.00,0.00,7.00,764.50,NA
2019-01-01 02:00:00,266.25,512.25,54.18,165.70,132.23,13.35,23.85,1.34,15.90,9.70,15.62,8.92,NA,NA,NA,19.03,69.25,0.67,267.25,0.00,0.00,7.00,764.00,NA
2019-01-01 03:00:00,179.50,404.25,60.28,149.60,128.55,20.35,32.00,1.69,26.55,7.33,11.80,6.32,NA,NA,NA,18.82,70.75,0.60,260.25,0.00,0.00,7.00,764.00,NA
2019-01-01 04:00:00,249.75,518.00,37.03,121.55,94.75,15.07,33.10,1.23,17.35,9.10,11.92,5.52,NA,NA,NA,18.00,73.00,0.80,264.25,0.00,0.00,7.00,764.50,NA
2019-01-01 05:00:00,188.00,415.50,17.27,100.38,67.40,13.97,32.02,1.03,13.73,8.60,12.55,6.00,NA,NA,NA,17.75,74.00,0.70,263.00,0.00,0.00,7.00,765.50,NA
2019-01-01 06:00:00,169.50,361.25,28.02,109.17,80.85,12.88,29.15,1.23,12.10,7.38,9.92,4.42,NA,NA,NA,17.60,74.00,0.73,265.00,0.00,0.00,9.75,767.00,NA
2019-01-01 07:00:00,180.00,372.75,47.75,128.72,107.32,12.75,30.20,1.52,14.50,8.15,10.58,4.65,NA,NA,NA,19.08,70.75,0.72,249.25,0.00,0.00,87.50,768.25,NA
2019-01-01 08:00:00,189.25,385.25,19.50,134.83,87.55,15.38,69.85,1.39,44.90,7.98,10.35,4.10,NA,NA,NA,21.68,63.75,0.95,246.00,0.00,0.00,201.25,769.25,NA
2019-01-01 09:00:00,183.00,336.75,6.30,118.10,67.90,15.70,69.72,1.38,103.12,8.80,15.38,7.82,NA,NA,NA,24.48,56.25,0.98,265.50,0.00,0.00,342.25,769.50,NA
