Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2020-01-01 00:00:00,71.50,NA,2.53,29.42,17.73,10.60,8.48,1.14,63.62,5.18,7.42,1.45,NA,NA,NA,17.27,75.00,2.98,252.50,0.00,0.00,7.00,762.50,NA
2020-01-01 01:00:00,74.00,NA,3.18,26.00,16.42,11.45,8.95,1.17,77.12,4.85,6.45,1.27,NA,NA,NA,17.20,75.00,2.35,240.75,0.00,0.00,7.00,762.00,NA
2020-01-01 02:00:00,66.00,NA,1.42,23.05,13.42,12.75,9.38,1.14,88.80,4.62,5.00,1.08,NA,NA,NA,16.98,75.00,2.12,201.25,0.00,0.00,7.00,761.50,NA
2020-01-01 03:00:00,66.25,NA,2.70,18.75,12.18,14.42,9.80,1.06,79.32,4.75,4.70,0.85,NA,NA,NA,16.98,75.75,2.17,239.50,0.00,0.00,7.00,761.00,NA
2020-01-01 04:00:00,65.25,NA,2.62,15.77,10.50,10.70,9.32,1.01,82.12,4.03,3.58,0.60,NA,NA,NA,16.98,75.00,2.45,220.00,0.00,0.00,7.00,761.25,NA
2020-01-01 05:00:00,63.50,NA,2.08,19.38,11.95,10.48,8.40,1.02,73.30,4.03,3.25,0.43,NA,NA,NA,17.02,75.50,2.72,239.00,0.00,0.00,7.00,762.00,NA
2020-01-01 06:00:00,73.50,NA,2.92,23.08,14.68,10.42,7.80,1.00,73.42,4.22,3.65,0.57,NA,NA,NA,16.92,76.00,2.97,223.00,0.00,0.00,9.00,762.50,NA
2020-01-01 07:00:00,72.75,NA,2.48,29.92,17.92,10.75,8.07,1.05,62.35,4.47,4.05,0.62,NA,NA,NA,17.58,74.75,3.25,224.50,0.00,0.00,50.75,764.50,NA
2020-01-01 08:00:00,73.00,NA,3.18,29.67,18.35,10.62,7.95,1.10,61.15,4.70,4.50,0.78,NA,NA,NA,19.85,71.00,3.02,224.50,0.00,0.00,171.25,765.25,NA
2020-01-01 09:00:00,67.00,NA,3.75,30.62,19.35,11.58,8.02,1.12,50.75,5.10,5.52,1.05,NA,NA,NA,21.88,67.75,3.32,203.75,0.00,0.00,272.00,766.00,NA
2020-01-01 10:00:00,68.00,129.00,4.12,36.38,22.65,14.88,8.25,1.13,50.35,5.72,7.98,1.35,NA,NA,NA,23.62,65.50,3.50,215.50,0.00,0.00,361.75,766.00,NA
2020-01-01 11:00:00,71.00,129.00,4.25,32.95,21.00,17.05,9.60,1.08,62.90,5.98,10.65,1.75,NA,NA,NA,24.95,64.50,3.30,159.25,0.00,0.00,315.75,765.25,NA
2020-01-01 12:00:00,64.50,112.00,3.45,28.17,17.77,12.10,8.18,1.17,78.70,5.18,7.05,1.60,NA,NA,NA,24.28,66.75,3.35,127.75,0.00,0.00,194.25,763.75,NA
2020-01-01 13:00:00,60.00,NA,3.62,29.92,18.88,10.07,7.18,1.20,80.03,4.95,6.38,1.60,NA,NA,NA,23.02,69.00,2.98,123.25,0.00,0.00,203.50,762.50,NA
2020-01-01 14:00:00,65.00,NA,2.38,24.30,14.90,10.95,7.25,1.16,74.10,4.97,5.50,1.48,NA,NA,NA,22.68,71.00,3.42,145.25,0.00,0.00,134.00,762.00,NA
2020-01-01 15:00:00,66.25,114.75,2.25,24.70,14.98,11.25,6.75,1.17,95.98,4.60,4.60,1.20,NA,NA,NA,20.90,75.00,3.78,102.50,0.00,0.00,51.75,762.00,NA
2020-01-01 16:00:00,69.75,119.75,2.58,24.90,15.32,11.40,7.10,1.12,89.07,4.47,5.00,1.10,NA,NA,NA,20.08,77.25,3.42,131.00,0.00,0.00,34.00,762.00,NA
2020-01-01 17:00:00,64.25,101.75,1.98,26.08,15.48,10.95,7.70,1.13,70.90,4.40,4.70,1.02,NA,NA,NA,19.80,79.50,3.10,140.00,0.00,0.00,8.00,763.00,NA
2020-01-01 18:00:00,55.00,85.25,3.32,28.05,17.62,11.15,9.20,1.24,76.18,4.80,5.68,1.45,NA,NA,NA,19.60,79.25,3.02,144.00,0.00,0.00,7.00,764.50,NA
2020-01-01 19:00:00,68.00,108.25,2.25,28.72,17.15,11.02,8.48,1.26,68.50,4.95,5.25,1.32,NA,NA,NA,19.70,78.00,3.25,153.50,0.00,0.00,7.00,765.75,NA
2020-01-01 20:00:00,62.00,103.00,3.28,37.45,22.58,11.05,7.92,1.36,70.38,5.22,6.00,1.48,NA,NA,NA,19.62,77.00,3.08,215.50,0.00,0.00,7.00,767.00,NA
2020-01-01 21:00:00,68.00,113.00,3.12,35.55,21.50,10.90,8.35,1.35,61.88,5.58,10.68,1.98,NA,NA,NA,19.27,77.00,2.62,209.50,0.00,0.00,7.00,768.00,NA
2020-01-01 22:00:00,54.00,87.00,2.55,30.90,18.53,10.58,7.50,1.22,56.85,4.80,8.62,1.60,NA,NA,NA,19.40,79.25,2.00,190.50,0.00,0.00,7.00,767.25,NA
2020-01-01 23:00:00,31.00,53.25,2.52,12.28,8.60,8.57,5.82,0.93,56.42,2.55,5.15,0.85,NA,NA,NA,19.88,81.00,3.18,149.25,0.00,0.00,7.00,766.50,NA
2020-01-02 00:00:00,19.50,37.50,2.12,12.20,8.25,10.10,7.90,0.84,75.40,2.45,1.70,0.18,NA,NA,NA,18.58,82.00,2.75,173.75,0.00,0.00,7.00,765.75,NA
2020-01-02 01:00:00,41.00,69.25,2.33,15.45,10.12,11.18,8.22,0.81,64.40,3.22,5.85,0.02,NA,NA,NA,17.50,80.75,2.95,233.25,0.00,0.00,7.00,765.00,NA
2020-01-02 02:00:00,48.00,70.50,2.68,15.48,10.40,12.45,9.43,0.83,57.75,3.60,10.48,0.22,NA,NA,NA,17.23,79.25,2.95,219.75,0.00,0.00,7.00,763.50,NA
