Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2022-01-01 00:00:00,46.00,92.67,2.97,23.47,14.93,13.27,19.30,0.39,29.83,2.20,9.57,1.53,NA,NA,NA,20.53,79.00,0.33,164.67,0.00,0.00,8.00,754.00,0.00
2022-01-01 01:00:00,58.00,96.00,3.63,16.40,11.70,13.13,18.07,0.35,32.43,2.17,7.93,1.10,NA,NA,NA,20.07,79.67,0.40,115.00,0.00,0.00,8.00,754.00,0.00
2022-01-01 02:00:00,48.33,80.00,3.60,14.10,10.43,12.67,17.13,0.35,33.80,2.03,5.10,0.80,NA,NA,NA,19.73,80.67,0.33,137.00,0.00,0.00,8.00,753.00,0.00
2022-01-01 03:00:00,51.50,84.25,3.90,14.95,11.12,12.90,17.38,0.37,38.27,2.05,3.92,0.70,NA,NA,NA,19.52,81.00,0.35,119.50,0.00,0.00,8.00,753.00,0.00
2022-01-01 04:00:00,52.75,85.75,3.62,14.60,10.72,12.48,17.50,0.36,35.72,2.10,4.18,0.65,NA,NA,NA,19.35,81.00,0.40,127.50,0.00,0.00,8.00,753.00,0.00
2022-01-01 05:00:00,51.33,92.33,3.03,15.63,10.77,12.43,17.43,0.36,36.43,2.17,3.53,0.63,NA,NA,NA,19.40,80.33,1.33,111.33,0.00,0.00,8.00,753.33,-0.03
2022-01-01 06:00:00,54.00,99.67,5.03,29.93,20.03,10.17,17.77,0.44,31.33,2.00,2.60,0.83,NA,NA,NA,19.43,78.67,2.03,122.67,0.00,0.00,12.33,754.00,0.03
2022-01-01 07:00:00,62.25,98.50,6.57,31.65,22.20,11.42,18.03,0.51,29.02,2.25,3.60,0.95,NA,NA,NA,20.92,75.75,1.82,131.25,0.00,0.00,77.75,754.75,0.02
2022-01-01 08:00:00,61.75,102.75,7.22,27.45,20.48,11.12,18.70,0.55,30.35,2.33,3.48,1.23,NA,NA,NA,24.05,69.75,1.08,132.25,0.00,0.00,191.75,755.00,0.08
2022-01-01 09:00:00,57.33,102.00,5.67,23.93,17.33,13.13,20.40,0.57,31.13,2.47,4.47,1.73,NA,NA,NA,25.67,66.33,1.23,131.33,0.00,0.00,290.33,755.00,0.07
2022-01-01 10:00:00,55.25,104.50,5.52,21.67,16.00,11.42,19.75,2.68,33.48,2.62,8.05,1.50,NA,NA,NA,26.52,66.00,1.27,120.00,0.00,0.00,339.75,754.75,0.08
2022-01-01 11:00:00,55.75,107.75,6.05,20.05,15.60,10.95,20.70,0.49,26.50,2.28,9.32,1.90,NA,NA,NA,26.67,64.00,2.15,117.00,0.00,0.00,398.75,754.00,0.15
2022-01-01 12:00:00,62.25,94.00,14.30,21.17,23.97,8.73,20.78,0.37,35.50,2.10,9.72,1.98,NA,NA,NA,26.98,63.00,1.85,116.25,0.00,0.00,427.25,753.25,0.15
2022-01-01 13:00:00,55.50,89.75,5.08,16.33,12.78,11.92,18.60,0.40,39.92,2.17,7.38,1.30,NA,NA,NA,26.45,65.25,2.33,118.00,0.00,0.00,371.75,752.50,0.15
2022-01-01 14:00:00,51.00,86.00,4.47,13.63,10.87,12.93,19.23,0.38,44.33,1.97,6.03,1.10,NA,NA,NA,26.07,66.67,2.67,118.33,0.00,0.00,323.00,752.00,0.20
2022-01-01 15:00:00,52.00,88.00,4.07,12.07,9.77,12.80,18.83,0.39,44.13,1.63,4.83,0.70,NA,NA,NA,25.43,68.67,2.47,116.67,0.00,0.00,203.33,752.00,0.13
2022-01-01 16:00:00,57.00,92.00,3.17,17.23,11.73,11.27,17.83,0.48,44.70,1.77,2.90,0.63,NA,NA,NA,24.20,72.67,1.77,112.33,0.00,0.00,75.67,752.00,0.10
2022-01-01 17:00:00,61.00,104.00,4.30,25.80,17.18,10.95,17.73,0.59,41.18,2.25,6.20,1.30,NA,NA,NA,22.90,76.25,1.20,112.00,0.00,0.00,10.25,752.00,0.10
2022-01-01 18:00:00,69.75,115.25,4.87,28.72,18.23,11.35,17.05,0.57,39.00,3.00,8.28,1.80,NA,NA,NA,22.72,77.00,1.15,110.00,0.00,0.00,8.00,753.00,0.08
2022-01-01 19:00:00,68.75,113.25,5.00,28.15,19.05,10.60,16.90,0.59,40.17,2.68,6.52,1.48,NA,NA,NA,22.60,77.50,0.85,114.25,0.00,0.00,8.00,753.50,0.08
2022-01-01 20:00:00,68.00,114.00,3.97,27.87,18.07,11.53,17.70,0.59,39.70,2.60,6.57,1.50,NA,NA,NA,22.57,77.00,0.57,112.00,0.00,0.00,8.00,754.00,0.03
2022-01-01 21:00:00,72.25,111.50,4.38,25.78,17.25,11.65,17.22,0.56,40.15,2.48,6.12,1.42,NA,NA,NA,22.52,77.00,0.55,106.75,0.00,0.00,8.00,754.00,0.02
2022-01-01 22:00:00,66.75,109.50,4.00,17.30,12.45,12.22,16.23,0.49,43.28,2.20,5.55,1.52,NA,NA,NA,22.38,77.00,1.52,113.00,0.00,0.00,8.00,754.00,0.05
2022-01-01 23:00:00,66.00,108.00,3.37,11.50,8.80,13.13,15.23,0.40,36.77,1.80,4.47,0.87,NA,NA,NA,22.20,78.00,1.00,126.33,0.00,0.00,8.00,754.00,0.00
2022-01-02 00:00:00,66.00,106.25,4.00,15.55,11.50,11.32,15.92,0.40,35.80,1.55,3.92,1.42,NA,NA,NA,22.00,78.00,0.43,130.75,0.00,0.00,8.00,753.50,0.00
2022-01-02 01:00:00,63.25,106.50,3.45,16.68,11.65,12.45,16.90,0.44,36.08,2.03,3.50,1.30,NA,NA,NA,21.25,78.75,0.30,122.00,0.00,0.00,8.00,752.75,0.00
2022-01-02 02:00:00,63.50,104.50,3.60,11.85,9.25,12.42,17.30,0.41,36.30,2.32,3.92,0.48,NA,NA,NA,20.62,79.50,0.38,117.75,0.00,0.00,8.00,752.00,0.05
2022-01-02 03:00:00,63.25,104.75,3.18,11.58,8.72,12.02,19.00,0.41,41.43,2.33,6.88,0.45,NA,NA,NA,20.27,79.00,0.35,124.75,0.00,0.00,8.00,752.00,0.00
2022-01-02 04:00:00,68.50,110.00,2.55,15.78,10.45,11.75,21.38,0.46,39.47,2.58,4.08,0.48,NA,NA,NA,20.00,79.00,0.30,145.50,0.00,0.00,8.00,752.00,0.00
2022-01-02 05:00:00,72.25,110.75,7.50,40.40,27.62,9.10,20.80,0.52,28.85,2.28,2.80,0.57,NA,NA,NA,19.70,79.00,0.30,270.25,0.00,0.00,8.00,752.50,0.00
2022-01-02 06:00:00,73.00,115.00,7.53,48.60,31.97,8.90,21.33,0.50,26.00,2.57,4.67,1.30,NA,NA,NA,19.73,79.00,0.30,141.33,0.00,0.00,11.33,753.00,0.00
2022-01-02 07:00:00,79.00,119.00,6.00,31.10,21.40,13.15,20.25,0.52,27.70,2.60,4.65,1.60,NA,NA,NA,20.90,78.00,0.30,163.50,0.00,0.00,58.00,753.50,0.00
2022-01-02 08:00:00,82.00,133.25,6.72,26.70,19.70,11.40,19.45,0.57,30.58,2.50,3.78,1.60,NA,NA,NA,24.10,72.25,0.30,148.50,0.00,0.00,178.25,754.00,0.05
2022-01-02 09:00:00,76.25,116.50,8.38,25.50,20.35,12.40,19.68,0.64,33.53,2.80,5.12,2.02,NA,NA,NA,26.20,67.75,0.38,140.50,0.00,0.00,275.75,754.00,0.08
2022-01-02 10:00:00,70.00,120.33,5.97,19.13,15.00,11.77,18.80,3.64,42.20,2.93,4.83,1.80,NA,NA,NA,27.00,65.33,0.73,149.67,0.00,0.00,356.00,754.00,0.10
2022-01-02 11:00:00,74.00,125.00,3.95,11.10,9.10,13.30,18.90,0.43,46.65,2.03,3.73,0.90,NA,NA,NA,26.20,66.33,1.50,114.33,0.00,0.00,388.33,753.00,0.10
2022-01-02 12:00:00,62.00,100.00,14.60,14.20,21.15,9.25,19.40,0.36,43.33,1.90,3.17,0.63,NA,NA,NA,26.00,67.67,1.97,116.33,0.00,0.00,419.67,752.00,0.17
2022-01-02 13:00:00,70.50,100.00,3.95,10.90,9.00,12.70,17.70,0.39,41.25,1.78,3.65,0.62,NA,NA,NA,26.10,68.00,1.90,117.75,0.00,0.00,368.00,751.50,0.18
2022-01-02 14:00:00,61.75,104.25,3.47,10.00,8.18,12.82,16.90,0.34,40.45,2.28,2.90,0.68,NA,NA,NA,26.12,66.75,1.65,127.00,0.00,0.00,306.25,751.00,0.15
2022-01-02 15:00:00,58.00,104.50,3.03,10.48,8.02,12.42,16.05,0.36,38.17,1.55,2.00,0.57,NA,NA,NA,25.12,69.25,1.63,124.00,0.00,0.00,175.50,751.00,0.15
2022-01-02 16:00:00,56.75,94.00,2.62,12.85,8.95,12.48,16.12,0.38,35.38,1.55,2.33,0.65,NA,NA,NA,23.85,73.00,1.25,118.50,0.00,0.00,66.00,751.00,0.12
2022-01-02 17:00:00,54.50,98.25,3.82,20.08,13.80,11.98,17.32,0.47,37.78,1.80,4.88,1.08,NA,NA,NA,22.90,74.25,0.62,110.25,0.00,0.00,10.50,751.00,0.10
2022-01-02 18:00:00,61.00,110.25,4.20,26.02,17.25,11.08,20.40,0.51,36.35,2.20,5.70,1.30,NA,NA,NA,22.78,74.25,0.40,114.75,0.00,0.00,8.00,752.00,0.02
2022-01-02 19:00:00,68.25,108.00,4.38,28.88,18.90,11.25,22.85,0.55,36.28,2.42,6.98,1.52,NA,NA,NA,22.78,74.25,0.52,117.00,0.00,0.00,8.00,752.00,0.05
2022-01-02 20:00:00,73.25,111.75,5.10,32.63,21.50,10.28,26.15,0.63,36.15,2.62,6.95,1.78,NA,NA,NA,22.55,74.75,0.30,117.75,0.00,0.00,8.00,752.75,0.02
2022-01-02 21:00:00,76.25,123.50,5.02,22.22,15.92,11.65,28.38,0.52,39.62,2.53,7.48,1.95,NA,NA,NA,22.38,74.00,0.30,122.25,0.00,0.00,8.00,753.00,0.02
2022-01-02 22:00:00,77.00,128.33,5.20,35.90,23.33,11.60,29.20,0.60,28.97,2.27,7.30,2.03,NA,NA,NA,21.83,74.33,0.30,145.33,0.00,0.00,8.00,753.00,0.00
2022-01-02 23:00:00,83.00,135.00,4.80,27.20,18.37,12.10,30.27,0.49,32.83,2.67,6.57,1.80,NA,NA,NA,21.27,76.00,0.30,153.67,0.00,0.00,8.00,753.00,0.00
2022-01-03 00:00:00,75.50,129.50,4.82,20.88,15.05,11.95,30.55,0.40,39.40,2.10,8.80,1.12,NA,NA,NA,20.92,76.50,0.30,136.50,0.00,0.00,8.00,752.00,0.00
2022-01-03 01:00:00,78.00,126.75,3.95,12.52,9.88,12.55,30.20,0.41,37.72,1.88,6.95,0.98,NA,NA,NA,20.78,77.00,0.30,124.75,0.00,0.00,8.00,751.50,0.00
2022-01-03 02:00:00,81.00,123.00,3.70,12.13,9.47,12.13,29.80,0.39,47.30,1.63,2.57,0.67,NA,NA,NA,20.97,77.00,0.30,118.00,0.00,0.00,8.00,751.00,0.00
2022-01-03 03:00:00,79.00,123.50,3.52,11.92,9.20,12.42,30.60,0.42,32.43,1.52,1.45,0.38,NA,NA,NA,20.48,77.25,0.30,99.50,0.00,0.00,8.00,751.00,0.00
2022-01-03 04:00:00,80.50,122.50,3.75,21.85,14.65,10.70,27.25,0.46,31.72,1.90,3.18,0.40,NA,NA,NA,19.75,78.75,0.30,128.00,0.00,0.00,8.00,751.00,0.00
2022-01-03 05:00:00,84.00,124.00,4.95,28.32,19.08,10.15,24.00,0.50,35.72,2.20,3.85,0.48,NA,NA,NA,19.32,79.50,0.30,121.00,0.00,0.00,8.00,751.00,0.00
2022-01-03 06:00:00,81.00,127.00,5.42,33.03,22.00,10.28,24.30,0.51,38.40,2.38,3.55,0.65,NA,NA,NA,18.95,79.25,0.30,97.50,0.00,0.00,10.75,752.00,0.00
2022-01-03 07:00:00,80.75,137.00,6.05,34.38,23.17,11.50,26.28,0.55,32.85,2.68,4.15,0.95,NA,NA,NA,20.25,74.00,0.30,141.00,0.00,0.00,69.25,752.75,0.00
2022-01-03 08:00:00,80.75,139.50,7.38,31.60,22.80,11.05,26.72,0.68,32.45,2.90,4.90,1.30,NA,NA,NA,22.80,67.75,0.72,125.75,0.00,0.00,186.75,753.00,0.05
2022-01-03 09:00:00,81.50,139.50,7.05,26.28,19.70,12.15,25.78,0.72,33.12,3.05,5.78,1.90,NA,NA,NA,24.72,66.00,1.30,133.25,0.00,0.00,299.75,753.00,0.10
