Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2021-01-01 00:00:00,95.00,169.75,0.68,90.75,48.85,8.40,6.65,0.78,85.20,NA,NA,NA,NA,NA,NA,21.92,69.25,0.85,17.25,0.00,0.00,6.00,752.50,NA
2021-01-01 01:00:00,122.25,204.00,1.30,110.60,59.88,10.45,6.02,0.95,70.65,NA,NA,NA,NA,NA,NA,21.35,70.25,0.85,13.75,0.00,0.00,6.00,752.00,NA
2021-01-01 02:00:00,135.25,262.75,25.15,169.50,110.55,16.00,4.98,1.35,16.15,NA,NA,NA,NA,NA,NA,19.65,73.50,0.48,25.00,0.00,0.00,6.00,752.00,NA
2021-01-01 03:00:00,164.75,413.25,2.80,136.68,74.97,14.20,4.98,1.16,46.05,NA,NA,NA,NA,NA,NA,19.23,75.00,0.32,349.75,0.00,0.00,6.00,752.00,NA
2021-01-01 04:00:00,130.00,258.00,2.25,98.70,54.35,14.05,3.75,1.04,74.20,NA,NA,NA,NA,NA,NA,19.45,74.50,0.40,352.50,0.00,0.00,6.00,752.00,NA
2021-01-01 05:00:00,117.00,207.00,1.15,87.75,47.60,13.75,3.65,1.05,86.10,NA,NA,NA,NA,NA,NA,19.40,73.00,0.55,346.00,0.00,0.00,6.00,752.00,NA
2021-01-01 06:00:00,110.75,184.75,1.05,95.75,51.72,13.75,4.20,0.79,78.68,NA,NA,NA,NA,NA,NA,19.68,70.75,1.08,135.50,0.00,0.00,7.00,752.75,NA
2021-01-01 07:00:00,114.50,206.00,2.38,93.65,51.72,10.20,2.75,0.98,61.88,NA,NA,NA,NA,NA,NA,20.92,68.50,1.42,148.75,0.00,0.00,50.75,753.50,NA
2021-01-01 08:00:00,121.00,217.00,2.85,92.45,51.50,7.55,2.65,1.16,43.58,NA,NA,NA,NA,NA,NA,23.45,64.75,1.98,129.75,0.00,0.00,141.25,754.00,NA
2021-01-01 09:00:00,119.25,215.00,2.65,42.65,24.80,4.90,1.95,1.21,44.65,NA,NA,NA,NA,NA,NA,25.20,62.50,2.45,115.25,0.00,0.00,222.50,754.00,NA
2021-01-01 10:00:00,108.00,212.00,2.92,73.45,41.45,7.80,NA,1.48,45.15,NA,NA,NA,NA,NA,NA,26.42,61.50,2.58,90.50,0.00,0.00,261.25,754.00,NA
2021-01-01 11:00:00,113.75,208.50,1.60,88.05,48.15,3.30,7.00,1.23,45.38,NA,NA,NA,NA,NA,NA,27.15,61.75,3.28,104.25,0.00,0.00,331.25,753.50,NA
2021-01-01 12:00:00,107.25,215.25,1.95,72.85,40.35,3.10,4.07,0.78,49.62,NA,NA,NA,NA,NA,NA,27.28,62.00,3.28,97.00,0.00,0.00,353.00,753.00,NA
2021-01-01 13:00:00,106.50,210.75,0.10,2.40,0.00,3.50,3.15,0.75,79.00,NA,NA,NA,NA,NA,NA,27.35,61.25,2.90,95.25,0.00,0.00,332.25,752.50,NA
2021-01-01 14:00:00,107.25,198.00,1.88,25.45,15.08,22.38,2.48,0.81,63.12,NA,NA,NA,NA,NA,NA,27.35,62.50,2.88,94.50,0.00,0.00,262.00,752.00,NA
2021-01-01 15:00:00,117.50,187.50,5.05,20.55,15.05,20.40,2.55,0.87,69.70,NA,NA,NA,NA,NA,NA,25.95,66.50,2.95,100.50,0.00,0.00,138.00,752.00,NA
2021-01-01 16:00:00,115.75,200.00,4.52,22.45,15.62,24.05,2.48,1.08,86.40,NA,NA,NA,NA,NA,NA,24.82,70.50,2.65,86.25,0.00,0.00,50.75,751.75,NA
2021-01-01 17:00:00,126.00,216.00,4.72,35.15,22.58,24.50,2.70,1.24,86.55,NA,NA,NA,NA,NA,NA,23.68,71.50,2.08,93.25,0.00,0.00,7.00,752.00,NA
2021-01-01 18:00:00,122.75,213.25,5.00,44.80,27.88,23.05,4.03,1.03,99.02,NA,NA,NA,NA,NA,NA,23.30,69.50,2.15,93.75,0.00,0.00,6.00,752.00,NA
2021-01-01 19:00:00,116.25,201.75,4.10,47.25,28.45,22.88,3.42,1.10,104.18,NA,NA,NA,NA,NA,NA,23.20,68.75,1.85,75.25,0.00,0.00,6.00,752.00,NA
2021-01-01 20:00:00,114.25,200.50,4.38,38.40,24.00,23.28,3.00,1.02,108.48,NA,NA,NA,NA,NA,NA,23.08,68.75,1.85,89.25,0.00,0.00,6.00,752.50,NA
2021-01-01 21:00:00,104.75,194.00,3.75,24.88,16.27,22.25,2.45,0.83,110.30,NA,NA,NA,NA,NA,NA,22.95,68.00,1.85,86.00,0.00,0.00,6.00,753.00,NA
2021-01-01 22:00:00,102.25,180.75,4.10,31.82,20.25,21.00,1.92,0.86,92.95,NA,NA,NA,NA,NA,NA,22.60,68.50,1.45,74.50,0.00,0.00,6.00,753.00,NA
2021-01-01 23:00:00,108.00,188.00,4.32,43.90,26.88,22.88,1.95,0.96,80.08,NA,NA,NA,NA,NA,NA,21.60,70.50,1.02,189.50,0.00,0.00,6.00,753.00,NA
2021-01-02 00:00:00,114.00,194.00,4.60,27.45,18.33,24.35,3.30,0.72,91.65,NA,NA,NA,NA,NA,NA,21.08,72.00,0.80,227.25,0.00,0.00,6.00,752.50,NA
2021-01-02 01:00:00,113.00,191.75,3.75,35.45,21.92,24.50,3.08,0.80,87.88,NA,NA,NA,NA,NA,NA,20.52,72.75,0.45,56.50,0.00,0.00,6.00,752.00,NA
2021-01-02 02:00:00,115.75,213.50,4.38,77.05,44.58,25.62,2.75,1.15,60.40,NA,NA,NA,NA,NA,NA,19.38,75.25,0.35,129.00,0.00,0.00,6.00,752.00,NA
2021-01-02 03:00:00,135.50,304.50,4.78,87.00,50.18,28.30,5.00,1.30,29.18,NA,NA,NA,NA,NA,NA,18.12,78.00,0.30,290.25,0.00,0.00,6.00,751.00,NA
2021-01-02 04:00:00,143.25,317.25,4.47,74.40,43.20,28.30,5.18,1.34,36.25,NA,NA,NA,NA,NA,NA,17.75,79.50,0.30,290.00,0.00,0.00,6.00,751.25,NA
2021-01-02 05:00:00,137.75,280.75,5.48,61.20,37.00,24.68,2.72,0.98,57.70,NA,NA,NA,NA,NA,NA,18.62,77.50,0.92,149.75,0.00,0.00,6.00,752.00,NA
2021-01-02 06:00:00,118.50,206.75,6.10,67.32,40.78,23.80,2.28,0.84,69.70,NA,NA,NA,NA,NA,NA,19.05,74.50,0.70,50.50,0.00,0.00,7.25,752.50,NA
2021-01-02 07:00:00,120.50,221.00,8.52,60.02,38.83,23.22,1.82,0.98,62.55,NA,NA,NA,NA,NA,NA,20.65,71.25,1.12,134.50,0.00,0.00,59.00,753.50,NA
2021-01-02 08:00:00,120.75,229.50,7.48,51.05,33.25,21.88,1.95,1.17,54.32,NA,NA,NA,NA,NA,NA,23.42,66.50,1.40,113.50,0.00,0.00,148.00,754.00,NA
2021-01-02 09:00:00,110.75,222.75,7.02,39.48,26.70,20.20,1.70,1.19,44.52,NA,NA,NA,NA,NA,NA,25.58,62.75,2.12,87.00,0.00,0.00,244.00,754.00,NA
2021-01-02 10:00:00,108.00,201.50,5.22,23.70,16.85,20.30,2.70,1.12,59.88,NA,NA,NA,NA,NA,NA,27.28,57.25,2.55,80.75,0.00,0.00,283.25,754.00,NA
2021-01-02 11:00:00,106.00,198.50,4.80,23.55,16.40,20.60,6.50,0.98,46.80,NA,NA,NA,NA,NA,NA,27.75,55.75,3.00,100.50,0.00,0.00,348.50,753.25,NA
2021-01-02 12:00:00,104.25,196.75,2.65,25.70,15.85,19.70,4.12,0.64,54.65,NA,NA,NA,NA,NA,NA,28.48,55.50,2.52,94.25,0.00,0.00,377.50,752.00,NA
2021-01-02 13:00:00,99.00,184.00,1.92,24.48,14.55,19.68,1.00,0.59,56.75,NA,NA,NA,NA,NA,NA,28.22,58.25,2.85,93.00,0.00,0.00,333.50,752.00,NA
2021-01-02 14:00:00,91.75,183.25,2.17,18.70,11.73,20.05,NA,0.66,79.00,NA,NA,NA,NA,NA,NA,27.10,62.75,3.30,100.75,0.00,0.00,296.50,752.00,NA
2021-01-02 15:00:00,98.75,183.00,2.25,20.23,12.60,20.72,3.02,0.79,68.25,22.85,65.08,3.60,NA,NA,NA,26.78,65.25,2.38,90.50,0.00,0.00,168.25,751.50,NA
2021-01-02 16:00:00,101.75,181.00,1.65,21.68,12.85,22.72,3.65,0.93,86.20,2.70,5.03,0.98,NA,NA,NA,25.40,69.00,2.70,96.75,0.00,0.00,63.00,751.25,NA
2021-01-02 17:00:00,122.25,190.50,1.80,32.95,19.02,23.52,3.90,1.17,96.32,3.25,6.12,1.20,NA,NA,NA,24.08,70.50,2.25,85.25,0.00,0.00,7.75,751.00,NA
2021-01-02 18:00:00,123.25,209.00,1.88,39.17,22.32,25.95,6.05,1.02,100.50,2.88,5.42,1.05,NA,NA,NA,23.58,70.00,2.20,99.25,0.00,0.00,6.00,751.50,NA
2021-01-02 19:00:00,119.00,201.00,1.78,33.70,19.33,26.92,6.35,1.03,109.15,2.92,5.45,1.02,NA,NA,NA,23.28,70.50,2.22,97.00,0.00,0.00,6.00,752.00,NA
2021-01-02 20:00:00,115.25,193.00,1.62,30.92,17.77,25.28,6.08,1.01,110.40,2.85,5.38,1.02,NA,NA,NA,23.15,70.00,2.17,91.50,0.00,0.00,6.00,752.00,NA
