Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2017-07-01 00:00:00,50.00,91.75,3.33,27.70,17.48,NA,24.35,1.33,NA,0.58,0.75,0.65,NA,NA,NA,26.30,83.25,1.67,285.50,0.00,0.00,6.75,737.00,0.03
2017-07-01 01:00:00,30.75,59.25,1.20,20.78,11.40,0.03,8.23,1.77,NA,0.45,0.33,0.50,NA,NA,NA,25.00,84.50,2.50,299.50,1.50,6.00,6.75,736.00,0.05
2017-07-01 02:00:00,NA,NA,1.17,4.07,2.73,0.10,10.77,1.20,NA,0.53,0.47,0.43,NA,NA,NA,24.17,86.00,0.77,285.67,0.33,1.00,6.67,736.00,0.03
2017-07-01 03:00:00,8.00,NA,2.58,6.38,5.30,NA,19.78,1.58,144.42,0.75,0.48,0.63,NA,NA,NA,24.10,86.00,1.55,302.50,0.00,0.00,6.00,735.00,0.08
2017-07-01 04:00:00,33.25,NA,5.30,21.03,15.47,0.15,22.40,2.25,42.65,0.78,1.00,0.67,NA,NA,NA,24.90,86.00,2.30,297.25,0.00,0.00,6.00,735.00,0.08
2017-07-01 05:00:00,32.67,NA,2.30,26.63,16.03,NA,19.27,2.60,15.37,1.17,0.87,0.63,NA,NA,NA,24.53,86.00,2.57,292.00,0.00,0.00,9.67,735.67,0.10
2017-07-01 06:00:00,27.75,NA,3.83,15.58,11.28,0.08,21.88,1.02,0.30,2.03,0.65,0.70,NA,NA,NA,24.60,86.00,1.93,305.50,0.00,0.00,26.75,736.00,0.08
2017-07-01 07:00:00,38.00,NA,4.25,24.93,16.70,NA,13.98,1.64,NA,3.08,0.72,0.85,NA,NA,NA,24.97,86.00,2.65,311.00,0.00,0.00,47.75,737.75,0.05
2017-07-01 08:00:00,35.33,NA,4.47,17.90,12.80,NA,12.43,2.13,76.93,3.60,0.80,0.97,NA,NA,NA,25.23,85.67,2.07,306.67,0.00,0.00,71.00,739.67,0.03
2017-07-01 09:00:00,27.00,NA,1.15,17.50,6.30,10.60,28.33,1.47,NA,4.55,1.25,1.45,NA,NA,NA,25.45,84.50,1.65,293.50,0.12,0.50,108.00,739.00,0.10
2017-07-01 10:00:00,NA,25.00,3.30,27.10,17.13,32.13,39.77,1.74,NA,4.37,12.77,3.70,NA,NA,NA,26.70,81.00,1.87,283.33,0.00,0.00,367.33,736.67,0.10
2017-07-01 11:00:00,16.33,81.00,8.73,11.07,12.97,15.63,NA,0.70,5.50,4.20,10.00,2.73,NA,NA,NA,28.47,76.67,1.40,275.00,0.00,0.00,327.00,734.00,0.10
2017-07-01 12:00:00,49.00,93.00,17.07,4.83,16.33,8.83,25.60,0.78,1.37,3.67,11.00,2.57,NA,NA,NA,28.77,74.33,2.73,275.67,0.00,0.00,195.00,735.33,0.13
2017-07-01 13:00:00,31.33,70.00,2.43,14.67,9.77,6.97,16.07,0.89,8.87,4.17,15.27,3.13,NA,NA,NA,28.50,75.67,1.93,287.67,0.00,0.00,189.00,734.00,0.10
2017-07-01 14:00:00,41.50,79.50,2.22,15.72,10.10,5.62,7.18,0.92,7.90,4.65,16.07,3.47,NA,NA,NA,28.50,76.25,1.83,295.00,0.00,0.00,165.75,733.25,0.08
2017-07-01 15:00:00,47.33,108.33,2.80,16.17,10.87,5.50,2.73,1.03,5.03,5.37,13.70,3.53,NA,NA,NA,27.30,78.67,2.03,323.33,0.00,0.00,99.33,732.00,0.13
2017-07-01 16:00:00,53.75,140.00,2.85,17.12,11.40,5.10,12.32,1.03,6.97,6.65,12.50,3.52,NA,NA,NA,27.20,79.00,2.10,290.25,0.00,0.00,133.00,732.00,0.10
